algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,6.72,-194.6228790283203,6.72,2.9751884937286377,6.72,2.9751884937286377,6.79,8.59,8.59
fwd-r,11.42,-90.25123596191406,11.42,2.7910139560699463,16.04,2.949230194091797,10.9,11.42,19.759999999999998
ure-ga-u,6.22,-22.11221504211425,7.180000000000001,2.969897985458374,7.62,2.970620393753052,6.22,7.26,10.24
ure-ga-r,4.02,2.911946058273315,4.02,2.971905469894409,4.81,2.972139596939087,4.590000000000001,4.08,5.65
scl-nl,6.890000000000001,-185.1041259765625,6.890000000000001,2.974802255630493,6.890000000000001,2.974802255630493,6.890000000000001,8.59,8.59
scl-exp,7.02,-198.7201690673828,7.02,2.9758453369140625,7.02,2.9758453369140625,7.26,8.35,8.35
l-w,6.6000000000000005,-90.15360260009766,5.52,2.968347549438477,6.6000000000000005,2.9701461791992188,5.99,6.4799999999999995,8.63
l-uw,6.43,-107.63868713378906,5.6899999999999995,2.9694607257843018,6.81,2.9750816822052,5.42,6.239999999999999,8.49
pc-sigmoid,7.21,-1524.9420166015625,7.21,2.9386074542999268,7.9799999999999995,2.941213607788086,7.4399999999999995,9.29,13.33
